snap,z,total_agns,neighbor_records
000098,,0,0
000105,,0,0
000111,,0,0
000118,,0,0
000126,,0,0
000134,,0,0
000142,,0,0
000151,,0,0
000160,,0,0
000170,,0,0
000181,,0,0
000192,,0,0
000204,,0,0
000216,,0,0
000229,,0,0
000243,,0,0
000256,,0,0
000258,,0,0
000274,,0,0
000290,,0,0
000308,,0,0
000372,,0,0
000437,,0,0
000446,,0,0
000463,,0,0
000491,,0,0
000512,,0,0
000520,,0,0
000547,,0,0
000551,,0,0
000584,,0,0
000618,,0,0
000655,,0,0
000690,,0,0
000694,,0,0
000735,,0,0
000768,,0,0
000778,,0,0
000824,,0,0
000873,,0,0
000909,,0,0
000924,,0,0
000979,,0,0
001024,,0,0
001036,,0,0
001065,,0,0
001097,,0,0
001162,,0,0
001230,,0,0
001270,,160,0
001280,,158,0
001302,,161,0
001378,,157,0
001458,,157,0
001536,,150,0
001543,,148,0
001550,,143,0
001632,,154,0
001726,,168,0
001792,,141,0
001826,,186,0
001931,,157,0
001945,,135,0
002042,,132,0
002048,,138,0
002159,,159,0
002281,,138,0
002304,,142,0
002411,,150,0
002536,,140,0
002547,,122,0
002560,,124,0
002690,,120,0
002816,,117,0
002840,,95,0
002998,,116,0
003072,,110,0
003163,,104,0
003328,,100,0
003336,,102,0
003478,,86,0
003517,,95,0
003584,,0,0
003707,,112,0
003840,,89,0
003905,,78,0
004096,,81,0
004111,,104,0
004173,,86,0
004326,,109,0
004352,,83,0
004549,,90,0
004608,,95,0
004781,,86,0
004864,,90,0
005022,,75,0
005107,,69,0
005120,,65,0
005271,,58,0
005376,,70,0
005529,,62,0
005632,,60,0
005795,,60,0
005888,,56,0
006069,,52,0
006144,,64,0
006350,,65,0
006390,,55,0
006400,,58,0
006640,,57,0
006656,,55,0
006912,,51,0
006937,,43,0
007168,,54,0
007212,,47,0
007241,,48,0
007394,,46,0
007424,,51,0
007552,,53,0
007680,,44,0
007779,,0,0
007869,,0,0
007936,,0,0
008192,,0,0
